CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting
200040,0,35,Self Enquiry,1,10,Salaried,Male,3
200041,0,27,Self Enquiry,1,8,Salaried,Female,2
200042,1,26,Self Enquiry,1,31,Salaried,Male,2
200043,0,27,Company Invited,3,14,Salaried,Male,2
200044,0,,Company Invited,1,6,Small Business,Female,2
200045,1,41,Self Enquiry,1,18,Large Business,Female,2
200046,0,34,Company Invited,3,,Small Business,Male,3
200047,0,37,Self Enquiry,1,25,Salaried,Male,3
200048,0,46,Company Invited,3,11,Small Business,Male,3
200049,0,35,Self Enquiry,1,14,Salaried,Male,2
200050,1,48,Self Enquiry,1,6,Salaried,Male,3
200051,1,,Self Enquiry,1,11,Large Business,Male,2
200052,0,44,Self Enquiry,3,6,Small Business,Female,3
200053,0,35,Company Invited,1,17,Small Business,Male,3
200054,0,,Self Enquiry,3,29,Small Business,Female,2
200055,0,33,Company Invited,1,6,Salaried,Fe Male,3
200056,0,35,Company Invited,3,24,Salaried,Male,3
200057,0,,Self Enquiry,1,29,Small Business,Female,1
200058,0,31,Self Enquiry,1,13,Salaried,Male,2
200059,0,37,Self Enquiry,1,6,Salaried,Male,2
200060,0,32,Self Enquiry,1,6,Small Business,Male,2
200061,0,38,Company Invited,1,35,Salaried,Female,2
200062,0,50,Self Enquiry,1,13,Small Business,Female,2
200063,0,59,Self Enquiry,3,31,Salaried,Female,2
200064,0,36,Self Enquiry,1,14,Large Business,Female,2
200065,0,55,Self Enquiry,1,14,Small Business,Female,2
200066,0,36,Company Invited,1,17,Salaried,Male,3
200067,0,45,Self Enquiry,1,13,Salaried,Male,2
200068,0,35,Company Invited,1,6,Small Business,Male,3
200069,1,,Self Enquiry,1,15,Small Business,Male,3
200070,0,59,Company Invited,3,6,Salaried,Female,2
200071,0,29,Self Enquiry,1,8,Salaried,Male,3
200072,0,31,Self Enquiry,1,6,Small Business,Male,2
200073,0,32,Self Enquiry,1,6,Salaried,Male,3
200074,0,36,Self Enquiry,1,12,Salaried,Female,2
200075,0,31,Self Enquiry,1,,Salaried,Female,3
200076,0,35,Self Enquiry,3,,Small Business,Male,2
200077,0,45,Self Enquiry,1,12,Salaried,Male,2
200078,0,37,Self Enquiry,1,13,Small Business,Male,1
200079,0,46,Self Enquiry,2,11,Small Business,Male,3
200080,0,30,Self Enquiry,1,6,Salaried,Male,2
200081,0,35,Self Enquiry,1,6,Small Business,Male,1
200082,0,55,Self Enquiry,3,6,Salaried,Male,3
200083,0,38,Company Invited,1,12,Small Business,Female,3
200084,0,34,Self Enquiry,1,,Small Business,Male,3
200085,0,56,Self Enquiry,1,13,Salaried,Male,2
200086,0,23,Self Enquiry,3,8,Large Business,Male,3
200087,0,51,Self Enquiry,1,15,Salaried,Male,3
200088,0,,Self Enquiry,1,8,Salaried,Male,2
200089,1,46,Self Enquiry,3,15,Small Business,Male,3
200090,0,40,Company Invited,1,6,Salaried,Male,3
200091,0,51,Self Enquiry,3,27,Small Business,Male,3
200092,0,30,Self Enquiry,3,10,Small Business,Female,3
200093,0,46,Company Invited,1,6,Small Business,Male,2
200094,0,32,Self Enquiry,3,12,Small Business,Male,2
200095,0,54,Self Enquiry,1,8,Large Business,Female,2
200096,0,24,Self Enquiry,3,9,Salaried,Female,2
200097,0,,Company Invited,3,10,Small Business,Male,2
200098,0,58,Self Enquiry,3,16,Small Business,Male,2
200099,0,44,Company Invited,1,29,Small Business,Male,3
200100,1,37,Self Enquiry,2,12,Salaried,Male,3
200101,0,32,Self Enquiry,1,6,Salaried,Male,3
200102,1,20,Company Invited,1,12,Salaried,Female,3
200103,0,34,Self Enquiry,1,,Salaried,Female,2
200104,0,37,Company Invited,1,8,Salaried,Male,3
200105,0,59,Company Invited,2,8,Salaried,Female,2
200106,0,50,Company Invited,1,6,Salaried,Female,3
200107,1,25,Self Enquiry,3,11,Small Business,Male,2
200108,0,25,Self Enquiry,1,13,Small Business,Male,3
200109,0,22,Self Enquiry,1,21,Small Business,Female,2
200110,0,51,Company Invited,1,6,Small Business,Female,1
200111,1,34,Company Invited,1,13,Salaried,Male,3
200112,0,54,Company Invited,2,32,Salaried,Female,1
200113,0,24,Self Enquiry,1,24,Salaried,Male,2
200114,0,34,Self Enquiry,1,,Salaried,Female,2
200115,0,37,Self Enquiry,3,9,Salaried,Male,2
200116,0,34,Self Enquiry,1,11,Small Business,Fe Male,2
200117,0,36,Company Invited,3,17,Large Business,Female,3
200118,0,36,Self Enquiry,1,9,Salaried,Female,2
200119,0,43,Company Invited,3,32,Salaried,Male,3
200120,0,30,Company Invited,1,29,Salaried,Male,3
200121,0,33,Company Invited,3,28,Small Business,Male,3
200122,1,56,Self Enquiry,1,20,Salaried,Female,3
200123,0,51,Self Enquiry,1,12,Salaried,Male,2
200124,1,31,Self Enquiry,3,12,Salaried,Male,3
200125,0,26,Self Enquiry,1,12,Salaried,Female,2
200126,1,58,Self Enquiry,1,29,Small Business,Female,3
200127,1,19,Self Enquiry,3,28,Small Business,Male,2
200128,0,22,Self Enquiry,1,8,Large Business,Male,3
200129,0,49,Self Enquiry,1,26,Small Business,Female,3
200130,0,43,Company Invited,1,,Small Business,Female,3
200131,0,50,Company Invited,3,18,Small Business,Fe Male,3
200132,1,31,Self Enquiry,3,,Salaried,Female,3
200133,0,41,Self Enquiry,3,15,Salaried,Male,3
200134,0,26,Self Enquiry,2,31,Salaried,Female,3
200135,0,36,Self Enquiry,1,12,Small Business,Male,2
200136,1,51,Company Invited,1,14,Salaried,Male,2
200137,0,39,Self Enquiry,3,10,Salaried,Female,2
200138,0,25,Self Enquiry,3,34,Salaried,Male,2
200139,0,30,Self Enquiry,2,15,Salaried,Male,2
200140,1,,Self Enquiry,1,15,Small Business,Female,2
200141,0,,Self Enquiry,1,35,Small Business,Male,2
200142,0,38,Self Enquiry,1,9,Large Business,Female,2
200143,0,30,Self Enquiry,1,24,Salaried,Female,3
200144,0,32,Company Invited,3,,Small Business,Male,2
200145,0,30,Self Enquiry,1,11,Large Business,Female,2
200146,0,30,Self Enquiry,1,8,Small Business,Male,2
200147,0,41,Company Invited,1,16,Salaried,Male,3
200148,0,41,Self Enquiry,1,15,Salaried,Male,3
200149,0,19,Self Enquiry,1,9,Small Business,Female,3
200150,0,40,Company Invited,1,32,Small Business,Female,2
200151,0,35,Self Enquiry,3,6,Small Business,Male,3
200152,0,53,Self Enquiry,3,12,Small Business,Male,2
200153,0,45,Self Enquiry,1,15,Salaried,Male,2
200154,0,32,Company Invited,3,14,Small Business,Fe Male,2
200155,0,29,Company Invited,1,,Large Business,Male,2
200156,0,51,Self Enquiry,1,13,Small Business,Male,2
200157,0,58,Self Enquiry,1,15,Small Business,Female,3
200158,0,40,Self Enquiry,3,10,Small Business,Male,3
200159,0,34,Company Invited,3,8,Small Business,Female,3
200160,0,22,Self Enquiry,1,25,Small Business,Male,3
200161,0,27,Company Invited,1,15,Small Business,Male,2
200162,0,28,Self Enquiry,1,27,Small Business,Male,2
200163,0,57,Self Enquiry,1,30,Salaried,Male,2
200164,0,27,Company Invited,1,9,Small Business,Male,3
200165,0,50,Self Enquiry,1,17,Salaried,Female,2
200166,0,41,Self Enquiry,1,20,Salaried,Male,2
200167,0,30,Self Enquiry,3,11,Salaried,Female,2
200168,0,38,Self Enquiry,3,6,Salaried,Fe Male,2
200169,0,32,Self Enquiry,1,12,Salaried,Male,2
200170,0,27,Self Enquiry,1,23,Large Business,Male,2
200171,1,19,Company Invited,3,6,Large Business,Female,3
200172,0,36,Company Invited,1,9,Small Business,Male,1
200173,0,30,Company Invited,1,15,Small Business,Male,3
200174,0,45,Self Enquiry,3,10,Salaried,Female,1
200175,0,56,Self Enquiry,1,,Salaried,Female,3
200176,0,33,Self Enquiry,1,8,Salaried,Male,2
200177,1,19,Self Enquiry,1,8,Salaried,Male,2
200178,0,46,Self Enquiry,3,6,Small Business,Female,3
200179,0,38,Self Enquiry,1,15,Salaried,Female,3
200180,0,,Self Enquiry,1,18,Small Business,Female,3
200181,0,34,Self Enquiry,1,33,Small Business,Female,3
200182,1,41,Self Enquiry,3,26,Small Business,Female,3
200183,0,,Self Enquiry,1,6,Small Business,Male,2
200184,0,53,Self Enquiry,1,,Small Business,Female,2
200185,0,33,Self Enquiry,1,20,Small Business,Female,3
200186,0,40,Self Enquiry,1,10,Small Business,Female,2
200187,0,55,Self Enquiry,1,20,Small Business,Male,3
200188,0,34,Company Invited,1,8,Salaried,Male,2
200189,0,51,Self Enquiry,1,9,Small Business,Female,3
200190,0,52,Self Enquiry,1,6,Salaried,Male,3
200191,0,27,Self Enquiry,1,15,Small Business,Female,2
200192,1,35,Self Enquiry,1,29,Salaried,Male,2
200193,0,43,Company Invited,1,13,Small Business,Male,2
200194,0,45,Company Invited,1,8,Small Business,Male,3
200195,0,,Self Enquiry,1,27,Salaried,Male,3
200196,0,35,Company Invited,1,,Small Business,Female,2
200197,0,42,Company Invited,1,27,Small Business,Female,2
200198,0,38,Self Enquiry,1,8,Salaried,Male,2
200199,0,38,Self Enquiry,1,35,Large Business,Male,2
200200,0,27,Company Invited,1,,Large Business,Male,2
200201,0,49,Company Invited,1,24,Salaried,Male,3
200202,0,,Company Invited,1,16,Small Business,Male,2
200203,0,40,Self Enquiry,1,25,Small Business,Male,2
200204,1,38,Self Enquiry,1,35,Small Business,Male,3
200205,1,29,Self Enquiry,3,33,Small Business,Female,2
200206,0,22,Self Enquiry,1,11,Salaried,Male,2
200207,0,36,Company Invited,1,24,Small Business,Female,3
200208,0,40,Company Invited,1,,Salaried,Male,3
200209,0,46,Self Enquiry,1,6,Small Business,Male,3
200210,1,32,Self Enquiry,3,10,Small Business,Male,2
200211,0,30,Company Invited,1,6,Salaried,Male,2
200212,0,27,Company Invited,3,26,Salaried,Fe Male,2
200213,0,51,Self Enquiry,1,14,Salaried,Male,2
200214,1,30,Self Enquiry,1,9,Large Business,Female,2
200215,0,41,Self Enquiry,3,12,Salaried,Fe Male,3
200216,1,30,Company Invited,3,32,Small Business,Female,2
200217,1,29,Self Enquiry,1,6,Large Business,Male,2
200218,0,45,Company Invited,3,12,Small Business,Fe Male,2
200219,0,54,Self Enquiry,3,9,Small Business,Female,2
200220,0,36,Self Enquiry,1,11,Salaried,Male,3
200221,0,33,Self Enquiry,1,10,Small Business,Female,2
200222,0,37,Company Invited,1,17,Salaried,Male,2
200223,0,38,Self Enquiry,3,9,Salaried,Male,3
200224,0,31,,1,,Small Business,Male,2
200225,0,59,Self Enquiry,1,9,Salaried,Male,3
200226,0,37,Company Invited,3,10,Small Business,Male,2
200227,0,29,Company Invited,3,6,Small Business,Female,2
200228,0,35,Company Invited,3,6,Small Business,Fe Male,3
200229,1,29,Self Enquiry,1,24,Small Business,Male,2
200230,0,52,Self Enquiry,1,8,Salaried,Female,2
200231,0,42,Self Enquiry,1,10,Large Business,Male,2
200232,0,59,Self Enquiry,2,12,Small Business,Male,2
200233,0,50,Self Enquiry,3,6,Small Business,Female,3
200234,1,33,Self Enquiry,1,20,Small Business,Male,2
200235,0,43,Self Enquiry,3,22,Small Business,Female,3
200236,1,33,Self Enquiry,1,8,Salaried,Female,2
200237,0,52,Company Invited,3,8,Salaried,Male,3
200238,0,,Self Enquiry,3,10,Salaried,Female,2
200239,1,,Self Enquiry,1,6,Salaried,Male,3
200240,0,39,Self Enquiry,1,6,Small Business,Female,3
200241,0,32,Company Invited,3,,Small Business,Male,3
200242,0,41,Self Enquiry,1,25,Salaried,Male,2
200243,0,40,Self Enquiry,1,30,Large Business,Male,3
200244,0,45,Self Enquiry,1,6,Salaried,Male,3
200245,0,31,Company Invited,1,9,Small Business,Male,3
200246,0,33,Self Enquiry,1,11,Salaried,Female,3
200247,0,34,Self Enquiry,1,8,Salaried,Male,2
200248,0,,Self Enquiry,1,6,Small Business,Female,2
200249,0,45,Company Invited,1,13,Salaried,Male,3
200250,1,37,Company Invited,1,16,Small Business,Male,3
200251,0,39,Company Invited,1,8,Large Business,Fe Male,3
200252,0,29,Self Enquiry,1,21,Salaried,Male,2
200253,0,42,Self Enquiry,1,23,Salaried,Female,2
200254,0,29,Self Enquiry,3,26,Small Business,Male,2
200255,0,25,Self Enquiry,1,,Salaried,Female,3
200256,0,42,Self Enquiry,1,8,Small Business,Female,2
200257,0,40,Self Enquiry,1,8,Small Business,Male,2
200258,0,51,Self Enquiry,1,6,Salaried,Male,3
200259,1,,Company Invited,1,35,Small Business,Male,3
200260,0,32,Company Invited,1,13,Salaried,Male,3
200261,0,38,Company Invited,3,8,Salaried,Male,2
200262,0,32,Self Enquiry,1,8,Large Business,Male,2
200263,0,46,Self Enquiry,3,8,Large Business,Female,3
200264,1,,Self Enquiry,1,8,Salaried,Male,3
200265,0,29,Self Enquiry,3,8,Small Business,Male,3
200266,0,31,Self Enquiry,1,29,Small Business,Male,3
200267,0,,Company Invited,1,11,Salaried,Male,2
200268,0,45,Self Enquiry,1,26,Small Business,Male,3
200269,0,36,Self Enquiry,1,12,Salaried,Male,2
200270,0,55,Self Enquiry,1,6,Small Business,Male,2
200271,1,47,Company Invited,1,35,Salaried,Male,2
200272,0,28,Self Enquiry,1,15,Small Business,Male,3
200273,0,37,Self Enquiry,3,12,Small Business,Male,3
200274,0,21,Self Enquiry,1,9,Small Business,Male,3
200275,0,37,Company Invited,1,6,Small Business,Female,1
200276,0,35,Self Enquiry,1,28,Salaried,Female,3
200277,0,38,Self Enquiry,3,13,Small Business,Female,2
200278,0,26,Company Invited,1,6,Salaried,Female,2
200279,0,50,Self Enquiry,1,10,Salaried,Male,3
200280,0,53,Self Enquiry,1,9,Small Business,Male,2
200281,0,42,Self Enquiry,3,6,Salaried,Male,2
200282,0,29,Company Invited,3,,Salaried,Male,2
200283,0,55,Self Enquiry,1,26,Large Business,Male,2
200284,0,26,Company Invited,1,,Small Business,Male,2
200285,0,37,Self Enquiry,1,6,Salaried,Female,2
200286,1,44,Company Invited,1,30,Salaried,Male,2
200287,0,38,Self Enquiry,1,29,Salaried,Male,2
200288,1,26,Self Enquiry,1,22,Small Business,Male,2
200289,0,28,Self Enquiry,1,14,Salaried,Female,3
200290,0,49,Company Invited,1,16,Salaried,Female,2
200291,0,36,Self Enquiry,1,,Large Business,Male,1
200292,0,31,Company Invited,3,11,Small Business,Female,2
200293,1,26,Self Enquiry,3,10,Small Business,Male,2
200294,0,37,Company Invited,1,15,Small Business,Male,2
200295,0,42,Company Invited,3,32,Small Business,Female,3
200296,1,18,Self Enquiry,1,9,Salaried,Male,2
200297,0,35,Self Enquiry,3,22,Small Business,Male,3
200298,0,,Company Invited,1,24,Salaried,Male,2
200299,0,51,Self Enquiry,1,8,Small Business,Male,2
200300,0,41,Self Enquiry,3,8,Salaried,Male,2
200301,0,18,Self Enquiry,3,16,Small Business,Female,3
200302,0,28,Self Enquiry,1,22,Small Business,Male,3
200303,0,31,Self Enquiry,3,13,Large Business,Male,3
200304,0,39,Self Enquiry,1,6,Small Business,Male,2
200305,0,36,Company Invited,1,30,Salaried,Female,2
200306,0,32,Self Enquiry,3,13,Salaried,Male,3
200307,0,38,Self Enquiry,1,31,Salaried,Female,2
200308,0,58,Company Invited,1,6,Salaried,Male,2
200309,0,31,Self Enquiry,1,,Large Business,Male,2
200310,0,31,Self Enquiry,2,8,Salaried,Male,3
200311,0,45,Company Invited,1,13,Salaried,Male,3
200312,0,31,Self Enquiry,1,8,Salaried,Male,2
200313,0,33,Company Invited,1,11,Salaried,Female,3
200314,0,39,Self Enquiry,1,16,Small Business,Male,2
200315,0,43,Company Invited,1,16,Salaried,Female,2
200316,0,49,Self Enquiry,1,6,Large Business,Female,2
200317,1,52,Self Enquiry,1,14,Small Business,Male,2
200318,0,27,Self Enquiry,1,11,Salaried,Female,2
200319,0,32,Self Enquiry,3,14,Large Business,Female,3
200320,0,27,Self Enquiry,3,,Salaried,Male,3
200321,0,31,Self Enquiry,3,13,Small Business,Male,3
200322,0,32,Self Enquiry,1,8,Small Business,Female,3
200323,1,,Self Enquiry,1,8,Small Business,Male,2
200324,0,30,Self Enquiry,1,34,Small Business,Female,3
200325,0,31,Company Invited,1,13,Salaried,Female,2
200326,0,39,Company Invited,1,5,Small Business,Male,2
200327,1,39,Self Enquiry,3,9,Small Business,Female,2
200328,0,33,Company Invited,3,,Small Business,Male,2
200329,0,47,Self Enquiry,1,11,Salaried,Male,2
200330,0,43,Company Invited,1,16,Salaried,Female,2
200331,0,27,Company Invited,3,6,Small Business,Male,3
200332,0,54,Company Invited,1,,Salaried,Female,2
200333,0,43,Self Enquiry,1,13,Salaried,Female,2
200334,0,,Self Enquiry,1,14,Salaried,Male,3
200335,0,40,Self Enquiry,3,6,Small Business,Male,2
200336,1,29,Self Enquiry,1,14,Salaried,Male,3
200337,0,,Self Enquiry,1,15,Salaried,Male,1
200338,0,30,Self Enquiry,3,11,Small Business,Female,1
200339,0,27,Self Enquiry,3,14,Small Business,Female,2
200340,0,37,Self Enquiry,1,11,Small Business,Male,3
200341,0,38,Self Enquiry,1,21,Salaried,Male,3
200342,0,31,Self Enquiry,1,13,Small Business,Female,2
200343,0,29,Self Enquiry,3,16,Small Business,Female,2
200344,0,35,Self Enquiry,1,11,Large Business,Male,3
200345,0,23,Self Enquiry,1,32,Salaried,Male,2
200346,0,41,Self Enquiry,1,12,Small Business,Male,3
200347,0,47,Company Invited,3,10,Small Business,Male,2
200348,0,42,Self Enquiry,1,29,Salaried,Female,2
200349,0,29,Company Invited,3,,Salaried,Male,3
200350,0,42,Self Enquiry,2,8,Large Business,Male,2
200351,0,32,Self Enquiry,1,8,Small Business,Female,3
200352,0,48,Self Enquiry,3,35,Small Business,Female,3
200353,0,37,Self Enquiry,1,12,Small Business,Male,2
200354,0,30,Company Invited,3,,Large Business,Female,2
200355,0,26,Self Enquiry,3,6,Salaried,Male,2
200356,0,42,Self Enquiry,1,8,Salaried,Male,3
200357,1,21,Company Invited,3,6,Large Business,Female,2
200358,0,36,Company Invited,3,6,Small Business,Female,2
200359,0,36,Company Invited,3,9,Small Business,Male,2
200360,0,57,Self Enquiry,1,6,Small Business,Male,2
200361,0,40,Self Enquiry,1,16,Salaried,Female,2
200362,0,21,Company Invited,3,15,Small Business,Male,2
200363,1,33,Self Enquiry,3,11,Small Business,Female,2
200364,0,,Self Enquiry,1,16,Small Business,Female,3
200365,0,46,Company Invited,1,13,Small Business,Female,1
200366,1,41,Company Invited,3,10,Small Business,Male,2
200367,0,50,Self Enquiry,1,16,Large Business,Male,3
200368,1,40,Self Enquiry,3,28,Small Business,Male,3
200369,0,31,Self Enquiry,1,15,Salaried,Male,2
200370,1,21,Self Enquiry,3,18,Salaried,Female,2
200371,0,29,Self Enquiry,1,29,Salaried,Male,2
200372,0,35,Self Enquiry,1,15,Salaried,Male,3
200373,0,,Self Enquiry,1,6,Small Business,Male,2
200374,0,28,Self Enquiry,3,15,Salaried,Male,3
200375,0,49,Self Enquiry,1,13,Salaried,Male,2
200376,0,51,Self Enquiry,3,20,Salaried,Female,2
200377,0,36,Self Enquiry,1,8,Salaried,Female,3
200378,1,34,Company Invited,3,25,Small Business,Male,3
200379,0,55,Self Enquiry,1,8,Salaried,Female,3
200380,0,24,Self Enquiry,3,,Small Business,Female,3
200381,0,30,Self Enquiry,3,8,Large Business,Male,3
200382,1,26,Company Invited,1,9,Large Business,Male,3
200383,0,22,Self Enquiry,1,17,Small Business,Female,2
200384,0,36,Self Enquiry,3,8,Small Business,Male,3
200385,1,30,Company Invited,1,10,Large Business,Male,2
200386,0,37,Self Enquiry,1,20,Salaried,Female,3
200387,0,40,Self Enquiry,3,8,Small Business,Female,2
200388,0,42,Self Enquiry,1,6,Salaried,Female,3
200389,0,,Self Enquiry,1,16,Salaried,Male,2
200390,0,43,Self Enquiry,1,18,Salaried,Male,2
200391,0,,Self Enquiry,1,8,Small Business,Female,3
200392,0,54,Self Enquiry,1,11,Small Business,Male,2
200393,0,34,Company Invited,3,10,Small Business,Female,3
200394,0,31,Self Enquiry,1,,Small Business,Female,2
200395,0,43,Company Invited,1,27,Small Business,Male,3
200396,0,43,Self Enquiry,1,,Salaried,Female,3
200397,0,25,Self Enquiry,3,,Salaried,Female,2
200398,0,37,Company Invited,1,,Small Business,Female,3
200399,0,31,Self Enquiry,1,6,Salaried,Male,3
200400,0,39,Company Invited,1,6,Salaried,Male,2
200401,0,56,Company Invited,3,12,Salaried,Female,2
200402,0,30,Self Enquiry,3,18,Large Business,Female,2
200403,0,41,Self Enquiry,3,6,Small Business,Male,2
200404,0,28,Self Enquiry,1,,Small Business,Male,3
200405,1,,Self Enquiry,1,9,Small Business,Male,3
200406,0,52,Self Enquiry,1,9,Small Business,Male,2
200407,0,45,Self Enquiry,1,16,Salaried,Male,3
200408,0,52,Self Enquiry,1,10,Salaried,Female,1
200409,0,42,Company Invited,1,,Salaried,Female,3
200410,0,30,Self Enquiry,1,8,Salaried,Female,2
200411,0,60,Self Enquiry,1,13,Salaried,Female,2
200412,0,46,Self Enquiry,1,,Small Business,Female,2
200413,0,42,Company Invited,1,,Large Business,Female,2
200414,1,24,Self Enquiry,3,6,Large Business,Female,3
200415,1,34,Company Invited,3,12,Small Business,Female,2
200416,0,38,Company Invited,1,8,Salaried,Male,2
200417,0,40,Self Enquiry,3,8,Salaried,Female,3
200418,0,26,Self Enquiry,1,29,Salaried,Female,2
200419,0,30,Company Invited,1,9,Salaried,Male,2
200420,0,29,Self Enquiry,1,9,Small Business,Male,3
200421,1,29,Self Enquiry,1,31,Large Business,Female,3
200422,1,19,Self Enquiry,2,8,Large Business,Male,2
200423,0,30,Company Invited,3,28,Salaried,Female,3
200424,0,57,Self Enquiry,3,35,Small Business,Male,2
200425,0,50,Self Enquiry,1,35,Salaried,Male,2
200426,0,30,Company Invited,1,8,Small Business,Female,2
200427,0,60,Company Invited,3,34,Small Business,Female,3
200428,0,47,Self Enquiry,1,8,Small Business,Female,3
200429,0,46,Self Enquiry,1,8,Salaried,Male,2
200430,0,35,Self Enquiry,1,28,Salaried,Male,2
200431,0,,Self Enquiry,1,14,Salaried,Female,2
200432,0,34,Self Enquiry,1,8,Salaried,Male,3
200433,0,46,Self Enquiry,3,16,Small Business,Female,3
200434,0,31,Self Enquiry,1,15,Salaried,Male,2
200435,1,33,Self Enquiry,1,21,Small Business,Male,2
200436,1,,Self Enquiry,1,16,Small Business,Male,2
200437,0,30,Self Enquiry,3,13,Small Business,Male,2
200438,0,35,Self Enquiry,1,22,Salaried,Male,3
200439,1,31,Company Invited,1,26,Salaried,Male,3
200440,1,34,Company Invited,2,29,Salaried,Female,2
200441,0,42,Company Invited,1,11,Salaried,Male,3
200442,0,36,Company Invited,3,16,Small Business,Male,2
200443,1,,Company Invited,1,10,Large Business,Male,2
200444,0,,Self Enquiry,3,8,Small Business,Female,2
200445,0,55,Self Enquiry,3,24,Salaried,Female,2
200446,0,41,Company Invited,3,16,Salaried,Male,2
200447,0,35,Self Enquiry,3,,Small Business,Male,2
200448,0,40,Self Enquiry,1,12,Salaried,Fe Male,3
200449,0,,Company Invited,1,14,Salaried,Female,2
200450,0,31,Self Enquiry,3,8,Salaried,Male,3
200451,0,42,Self Enquiry,1,30,Small Business,Male,2
200452,0,45,Self Enquiry,3,,Salaried,Male,3
200453,1,26,Company Invited,2,23,Salaried,Female,2
200454,0,29,Self Enquiry,1,,Large Business,Male,2
200455,0,33,Self Enquiry,1,6,Small Business,Female,3
200456,0,31,Self Enquiry,3,13,Salaried,Male,2
200457,1,18,Company Invited,3,11,Small Business,Male,3
200458,0,40,Company Invited,3,34,Salaried,Male,2
200459,0,41,Company Invited,1,8,Salaried,Female,3
200460,0,26,Self Enquiry,3,,Small Business,Male,2
200461,0,35,Self Enquiry,3,,Small Business,Female,3
200462,0,34,Self Enquiry,3,27,Salaried,Male,3
200463,1,26,Self Enquiry,1,30,Large Business,Male,3
200464,0,37,Self Enquiry,1,6,Large Business,Female,2
200465,0,46,Company Invited,1,24,Small Business,Female,2
200466,0,41,Self Enquiry,3,8,Salaried,Female,3
200467,0,37,Company Invited,3,15,Small Business,Male,3
200468,0,52,Self Enquiry,1,12,Large Business,Male,3
200469,1,32,Company Invited,3,,Salaried,Male,2
200470,0,24,Company Invited,3,30,Small Business,Male,2
200471,0,38,Self Enquiry,1,16,Small Business,Female,3
200472,0,37,Self Enquiry,1,6,Salaried,Female,3
200473,0,49,Self Enquiry,1,24,Salaried,Male,2
200474,0,24,Self Enquiry,1,29,Small Business,Male,2
200475,0,26,Self Enquiry,3,34,Small Business,Male,3
200476,0,24,Self Enquiry,1,23,Salaried,Male,3
200477,0,50,Company Invited,2,9,Small Business,Male,2
200478,0,25,Self Enquiry,3,19,Small Business,Male,2
200479,1,24,Company Invited,1,13,Salaried,Female,2
200480,1,30,Company Invited,3,18,Salaried,Male,3
200481,0,,Self Enquiry,1,6,Salaried,Male,2
200482,1,31,Self Enquiry,3,19,Small Business,Male,2
200483,0,,Self Enquiry,1,31,Salaried,Male,2
200484,0,31,Self Enquiry,3,12,Small Business,Male,3
200485,0,27,Self Enquiry,1,12,Small Business,Female,3
200486,0,37,Self Enquiry,3,8,Small Business,Male,3
200487,0,20,Self Enquiry,1,6,Salaried,Female,2
200488,0,,Self Enquiry,1,8,Salaried,Female,2
200489,0,43,Self Enquiry,1,12,Salaried,Male,2
