CustomerID,DateOfBirth(age),ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Totalvisiting,DateofBirth,Date(birth),Month(birth),Year(birth),TypeofContact(Allias)
200025,1972-01,0,53.0,Self Enquiry,1,11.0,Salaried,3.0,2014-11-27,27,11,2014,SE
200026,1989-01,1,36.0,Company Invited,1,22.0,Salaried,5.0,2014-06-02,2,6,2014,CI
200027,1983-01,0,42.0,Self Enquiry,3,14.0,Small Business,3.0,2013-11-10,10,11,2013,SE
200028,1981-01,0,44.0,Self Enquiry,1,13.0,Small Business,2.0,2015-09-01,1,9,2015,SE
200029,1979-01,0,46.0,Self Enquiry,3,8.0,Small Business,3.0,2013-02-27,27,2,2013,SE
200030,1992-01,0,33.0,Self Enquiry,1,8.0,Small Business,5.0,2014-04-08,8,4,2014,SE
200031,1981-01,0,44.0,Self Enquiry,1,16.0,Salaried,3.0,2015-09-27,27,9,2015,SE
200032,1995-01,0,30.0,Self Enquiry,1,15.0,Small Business,3.0,2012-04-01,1,4,2012,SE
200033,1986-01,1,39.0,Self Enquiry,3,11.0,Large Business,3.0,2012-12-12,12,12,2012,SE
200034,2001-01,1,24.0,Self Enquiry,1,6.0,Small Business,5.0,2010-01-15,15,1,2010,SE
200035,1982-01,0,43.0,Self Enquiry,1,8.0,Small Business,4.0,2012-11-19,19,11,2012,SE
200036,1975-01,1,50.0,Self Enquiry,3,9.0,Small Business,2.0,2010-10-15,15,10,2010,SE
200037,1990-01,0,35.0,Self Enquiry,3,8.0,Small Business,3.0,2013-04-13,13,4,2013,SE
200038,1989-01,0,36.0,Self Enquiry,1,11.0,Salaried,2.0,2012-03-15,15,3,2012,SE
200039,1992-01,0,33.0,Company Invited,3,6.0,Salaried,2.0,2014-05-27,27,5,2014,CI
200040,1990-01,0,35.0,Self Enquiry,1,10.0,Salaried,3.0,2011-04-28,28,4,2011,SE
200041,1998-01,0,27.0,Self Enquiry,1,8.0,Salaried,3.0,2011-05-13,13,5,2011,SE
200042,1999-01,1,26.0,Self Enquiry,1,31.0,Salaried,3.0,2014-02-23,23,2,2014,SE
200043,1998-01,0,27.0,Company Invited,3,14.0,Salaried,2.0,2011-11-09,9,11,2011,CI
200044,1989-01,0,36.0,Company Invited,1,6.0,Small Business,2.0,2011-08-02,2,8,2011,CI
200045,1984-01,1,41.0,Self Enquiry,1,18.0,Large Business,2.0,2012-05-05,5,5,2012,SE
200046,1991-01,0,34.0,Company Invited,3,13.0,Small Business,4.0,2011-02-07,7,2,2011,CI
200047,1988-01,0,37.0,Self Enquiry,1,25.0,Salaried,4.0,2013-05-12,12,5,2013,SE
200048,1979-01,0,46.0,Company Invited,3,11.0,Small Business,4.0,2010-06-09,9,6,2010,CI
200049,1990-01,0,35.0,Self Enquiry,1,14.0,Salaried,3.0,2010-07-18,18,7,2010,SE
200050,1977-01,1,48.0,Self Enquiry,1,6.0,Salaried,5.0,2013-02-05,5,2,2013,SE
200051,1989-01,1,36.0,Self Enquiry,1,11.0,Large Business,2.0,2011-06-01,1,6,2011,SE
200052,1981-01,0,44.0,Self Enquiry,3,6.0,Small Business,3.0,2014-01-28,28,1,2014,SE
200053,1990-01,0,35.0,Company Invited,1,17.0,Small Business,4.0,2012-06-21,21,6,2012,CI
200054,1989-01,0,36.0,Self Enquiry,3,29.0,Small Business,2.0,2014-02-14,14,2,2014,SE
200055,1992-01,0,33.0,Company Invited,1,6.0,Salaried,3.0,2014-01-01,1,1,2014,CI
200056,1990-01,0,35.0,Company Invited,3,24.0,Salaried,3.0,2010-05-17,17,5,2010,CI
200057,1989-01,0,36.0,Self Enquiry,1,29.0,Small Business,1.0,2015-03-10,10,3,2015,SE
200058,1994-01,0,31.0,Self Enquiry,1,13.0,Salaried,2.0,2011-09-23,23,9,2011,SE
200059,1988-01,0,37.0,Self Enquiry,1,6.0,Salaried,3.0,2013-02-01,1,2,2013,SE
200060,1993-01,0,32.0,Self Enquiry,1,6.0,Small Business,2.0,2011-02-26,26,2,2011,SE
200061,1987-01,0,38.0,Company Invited,1,35.0,Salaried,2.0,2012-12-04,4,12,2012,CI
200062,1975-01,0,50.0,Self Enquiry,1,13.0,Small Business,3.0,2015-03-23,23,3,2015,SE
200063,1966-01,0,59.0,Self Enquiry,3,31.0,Salaried,2.0,2013-01-11,11,1,2013,SE
200064,1989-01,0,36.0,Self Enquiry,1,14.0,Large Business,3.0,2014-04-14,14,4,2014,SE
200065,1970-01,0,55.0,Self Enquiry,1,14.0,Small Business,3.0,2015-01-26,26,1,2015,SE
200066,1989-01,0,36.0,Company Invited,1,17.0,Salaried,4.0,2013-03-03,3,3,2013,CI
200067,1980-01,0,45.0,Self Enquiry,1,13.0,Salaried,3.0,2011-11-07,7,11,2011,SE
200068,1990-01,0,35.0,Company Invited,1,6.0,Small Business,4.0,2015-07-09,9,7,2015,CI
200069,1989-01,1,36.0,Self Enquiry,1,15.0,Small Business,4.0,2011-08-20,20,8,2011,SE
200070,1966-01,0,59.0,Company Invited,3,6.0,Salaried,3.0,2012-06-04,4,6,2012,CI
200071,1996-01,0,29.0,Self Enquiry,1,8.0,Salaried,3.0,2011-02-13,13,2,2011,SE
200072,1994-01,0,31.0,Self Enquiry,1,6.0,Small Business,2.0,2015-10-22,22,10,2015,SE
200073,1993-01,0,32.0,Self Enquiry,1,6.0,Salaried,3.0,2013-02-20,20,2,2013,SE
200074,1989-01,0,36.0,Self Enquiry,1,12.0,Salaried,2.0,2012-03-29,29,3,2012,SE
200075,1994-01,0,31.0,Self Enquiry,1,13.0,Salaried,4.0,2013-10-23,23,10,2013,SE
200076,1990-01,0,35.0,Self Enquiry,3,13.0,Small Business,3.0,2014-10-21,21,10,2014,SE
200077,1980-01,0,45.0,Self Enquiry,1,12.0,Salaried,2.0,2010-06-20,20,6,2010,SE
200078,1988-01,0,37.0,Self Enquiry,1,13.0,Small Business,1.0,2014-02-14,14,2,2014,SE
200079,1979-01,0,46.0,Self Enquiry,2,11.0,Small Business,4.0,2014-05-07,7,5,2014,SE
200080,1995-01,0,30.0,Self Enquiry,1,6.0,Salaried,3.0,2010-08-16,16,8,2010,SE
200081,1990-01,0,35.0,Self Enquiry,1,6.0,Small Business,1.0,2013-07-21,21,7,2013,SE
200082,1970-01,0,55.0,Self Enquiry,3,6.0,Salaried,4.0,2014-04-22,22,4,2014,SE
200083,1987-01,0,38.0,Company Invited,1,12.0,Small Business,5.0,2010-02-15,15,2,2010,CI
200084,1991-01,0,34.0,Self Enquiry,1,13.0,Small Business,3.0,2013-08-04,4,8,2013,SE
200085,1969-01,0,56.0,Self Enquiry,1,13.0,Salaried,2.0,2014-10-06,6,10,2014,SE
200086,2002-01,0,23.0,Self Enquiry,3,8.0,Large Business,4.0,2012-09-15,15,9,2012,SE
200087,1974-01,0,51.0,Self Enquiry,1,15.0,Salaried,3.0,2011-09-28,28,9,2011,SE
200088,1989-01,0,36.0,Self Enquiry,1,8.0,Salaried,2.0,2015-10-03,3,10,2015,SE
200089,1979-01,1,46.0,Self Enquiry,3,15.0,Small Business,4.0,2014-04-20,20,4,2014,SE
200090,1985-01,0,40.0,Company Invited,1,6.0,Salaried,5.0,2013-07-18,18,7,2013,CI
200091,1974-01,0,51.0,Self Enquiry,3,27.0,Small Business,4.0,2011-06-05,5,6,2011,SE
200092,1995-01,0,30.0,Self Enquiry,3,10.0,Small Business,4.0,2012-11-09,9,11,2012,SE
200093,1979-01,0,46.0,Company Invited,1,6.0,Small Business,3.0,2014-05-16,16,5,2014,CI
200094,1993-01,0,32.0,Self Enquiry,3,12.0,Small Business,2.0,2013-01-25,25,1,2013,SE
200095,1971-01,0,54.0,Self Enquiry,1,8.0,Large Business,2.0,2012-10-25,25,10,2012,SE
200096,2001-01,0,24.0,Self Enquiry,3,9.0,Salaried,2.0,2011-01-19,19,1,2011,SE
200097,1989-01,0,36.0,Company Invited,3,10.0,Small Business,2.0,2013-06-02,2,6,2013,CI
200098,1967-01,0,58.0,Self Enquiry,3,16.0,Small Business,3.0,2015-04-12,12,4,2015,SE
200099,1981-01,0,44.0,Company Invited,1,29.0,Small Business,3.0,2010-03-14,14,3,2010,CI
200100,1988-01,1,37.0,Self Enquiry,2,12.0,Salaried,3.0,2010-11-20,20,11,2010,SE
200101,1993-01,0,32.0,Self Enquiry,1,6.0,Salaried,5.0,2012-04-13,13,4,2012,SE
200102,2005-01,1,20.0,Company Invited,1,12.0,Salaried,4.0,2013-05-22,22,5,2013,CI
200103,1991-01,0,34.0,Self Enquiry,1,13.0,Salaried,2.0,2010-11-19,19,11,2010,SE
200104,1988-01,0,37.0,Company Invited,1,8.0,Salaried,4.0,2012-06-07,7,6,2012,CI
200105,1966-01,0,59.0,Company Invited,2,8.0,Salaried,3.0,2010-12-04,4,12,2010,CI
200106,1975-01,0,50.0,Company Invited,1,6.0,Salaried,5.0,2010-02-02,2,2,2010,CI
200107,2000-01,1,25.0,Self Enquiry,3,11.0,Small Business,2.0,2010-12-23,23,12,2010,SE
200108,2000-01,0,25.0,Self Enquiry,1,13.0,Small Business,5.0,2014-10-10,10,10,2014,SE
200109,2003-01,0,22.0,Self Enquiry,1,21.0,Small Business,3.0,2015-07-14,14,7,2015,SE
200110,1974-01,0,51.0,Company Invited,1,6.0,Small Business,1.0,2013-08-22,22,8,2013,CI
200111,1991-01,1,34.0,Company Invited,1,13.0,Salaried,4.0,2014-01-01,1,1,2014,CI
200112,1971-01,0,54.0,Company Invited,2,32.0,Salaried,1.0,2011-04-13,13,4,2011,CI
200113,2001-01,0,24.0,Self Enquiry,1,24.0,Salaried,2.0,2011-08-27,27,8,2011,SE
200114,1991-01,0,34.0,Self Enquiry,1,13.0,Salaried,3.0,2010-09-18,18,9,2010,SE
200115,1988-01,0,37.0,Self Enquiry,3,9.0,Salaried,2.0,2013-03-22,22,3,2013,SE
200116,1991-01,0,34.0,Self Enquiry,1,11.0,Small Business,2.0,2010-11-21,21,11,2010,SE
200117,1989-01,0,36.0,Company Invited,3,17.0,Large Business,3.0,2015-01-21,21,1,2015,CI
200118,1989-01,0,36.0,Self Enquiry,1,9.0,Salaried,2.0,2011-05-29,29,5,2011,SE
200119,1982-01,0,43.0,Company Invited,3,32.0,Salaried,3.0,2010-06-09,9,6,2010,CI
200120,1995-01,0,30.0,Company Invited,1,29.0,Salaried,5.0,2010-08-23,23,8,2010,CI
200121,1992-01,0,33.0,Company Invited,3,28.0,Small Business,4.0,2013-11-22,22,11,2013,CI
200122,1969-01,1,56.0,Self Enquiry,1,20.0,Salaried,4.0,2014-01-10,10,1,2014,SE
200123,1974-01,0,51.0,Self Enquiry,1,12.0,Salaried,2.0,2011-05-06,6,5,2011,SE
200124,1994-01,1,31.0,Self Enquiry,3,12.0,Salaried,4.0,2015-01-31,31,1,2015,SE
200125,1999-01,0,26.0,Self Enquiry,1,12.0,Salaried,2.0,2015-08-03,3,8,2015,SE
200126,1967-01,1,58.0,Self Enquiry,1,29.0,Small Business,3.0,2014-10-13,13,10,2014,SE
200127,2006-01,1,19.0,Self Enquiry,3,28.0,Small Business,3.0,2015-09-12,12,9,2015,SE
200128,2003-01,0,22.0,Self Enquiry,1,8.0,Large Business,5.0,2011-07-19,19,7,2011,SE
200129,1976-01,0,49.0,Self Enquiry,1,26.0,Small Business,5.0,2015-01-28,28,1,2015,SE
200130,1982-01,0,43.0,Company Invited,1,13.0,Small Business,5.0,2013-03-12,12,3,2013,CI
200131,1975-01,0,50.0,Company Invited,3,18.0,Small Business,3.0,2010-12-13,13,12,2010,CI
200132,1994-01,1,31.0,Self Enquiry,3,13.0,Salaried,3.0,2014-02-15,15,2,2014,SE
200133,1984-01,0,41.0,Self Enquiry,3,15.0,Salaried,4.0,2012-04-25,25,4,2012,SE
200134,1999-01,0,26.0,Self Enquiry,2,31.0,Salaried,3.0,2013-12-28,28,12,2013,SE
200135,1989-01,0,36.0,Self Enquiry,1,12.0,Small Business,3.0,2010-07-04,4,7,2010,SE
200136,1974-01,1,51.0,Company Invited,1,14.0,Salaried,3.0,2010-12-18,18,12,2010,CI
200137,1986-01,0,39.0,Self Enquiry,3,10.0,Salaried,2.0,2015-05-30,30,5,2015,SE
200138,2000-01,0,25.0,Self Enquiry,3,34.0,Salaried,2.0,2011-04-13,13,4,2011,SE
200139,1995-01,0,30.0,Self Enquiry,2,15.0,Salaried,3.0,2015-08-02,2,8,2015,SE
200140,1989-01,1,36.0,Self Enquiry,1,15.0,Small Business,3.0,2010-12-27,27,12,2010,SE
200141,1989-01,0,36.0,Self Enquiry,1,35.0,Small Business,2.0,2014-03-15,15,3,2014,SE
200142,1987-01,0,38.0,Self Enquiry,1,9.0,Large Business,2.0,2010-04-20,20,4,2010,SE
200143,1995-01,0,30.0,Self Enquiry,1,24.0,Salaried,3.0,2011-02-25,25,2,2011,SE
200144,1993-01,0,32.0,Company Invited,3,13.0,Small Business,3.0,2011-02-19,19,2,2011,CI
200145,1995-01,0,30.0,Self Enquiry,1,11.0,Large Business,3.0,2013-01-27,27,1,2013,SE
200146,1995-01,0,30.0,Self Enquiry,1,8.0,Small Business,2.0,2011-04-22,22,4,2011,SE
200147,1984-01,0,41.0,Company Invited,1,16.0,Salaried,3.0,2015-08-20,20,8,2015,CI
200148,1984-01,0,41.0,Self Enquiry,1,15.0,Salaried,5.0,2014-06-21,21,6,2014,SE
200149,2006-01,0,19.0,Self Enquiry,1,9.0,Small Business,5.0,2014-01-24,24,1,2014,SE
200150,1985-01,0,40.0,Company Invited,1,32.0,Small Business,2.0,2013-06-29,29,6,2013,CI
200151,1990-01,0,35.0,Self Enquiry,3,6.0,Small Business,5.0,2015-10-22,22,10,2015,SE
200152,1972-01,0,53.0,Self Enquiry,3,12.0,Small Business,2.0,2010-02-20,20,2,2010,SE
200153,1980-01,0,45.0,Self Enquiry,1,15.0,Salaried,2.0,2014-01-08,8,1,2014,SE
200154,1993-01,0,32.0,Company Invited,3,14.0,Small Business,3.0,2010-06-28,28,6,2010,CI
200155,1996-01,0,29.0,Company Invited,1,13.0,Large Business,3.0,2015-02-13,13,2,2015,CI
200156,1974-01,0,51.0,Self Enquiry,1,13.0,Small Business,3.0,2013-02-07,7,2,2013,SE
200157,1967-01,0,58.0,Self Enquiry,1,15.0,Small Business,3.0,2012-09-21,21,9,2012,SE
200158,1985-01,0,40.0,Self Enquiry,3,10.0,Small Business,3.0,2010-05-21,21,5,2010,SE
200159,1991-01,0,34.0,Company Invited,3,8.0,Small Business,5.0,2012-11-27,27,11,2012,CI
200160,2003-01,0,22.0,Self Enquiry,1,25.0,Small Business,4.0,2015-06-08,8,6,2015,SE
200161,1998-01,0,27.0,Company Invited,1,15.0,Small Business,2.0,2010-11-02,2,11,2010,CI
200162,1997-01,0,28.0,Self Enquiry,1,27.0,Small Business,2.0,2014-06-19,19,6,2014,SE
200163,1968-01,0,57.0,Self Enquiry,1,30.0,Salaried,3.0,2014-09-30,30,9,2014,SE
200164,1998-01,0,27.0,Company Invited,1,9.0,Small Business,5.0,2010-11-29,29,11,2010,CI
200165,1975-01,0,50.0,Self Enquiry,1,17.0,Salaried,3.0,2014-02-21,21,2,2014,SE
200166,1984-01,0,41.0,Self Enquiry,1,20.0,Salaried,3.0,2013-06-08,8,6,2013,SE
200167,1995-01,0,30.0,Self Enquiry,3,11.0,Salaried,3.0,2015-03-28,28,3,2015,SE
200168,1987-01,0,38.0,Self Enquiry,3,6.0,Salaried,3.0,2014-09-06,6,9,2014,SE
200169,1993-01,0,32.0,Self Enquiry,1,12.0,Salaried,3.0,2011-06-20,20,6,2011,SE
200170,1998-01,0,27.0,Self Enquiry,1,23.0,Large Business,2.0,2013-03-28,28,3,2013,SE
200171,2006-01,1,19.0,Company Invited,3,6.0,Large Business,4.0,2010-04-17,17,4,2010,CI
200172,1989-01,0,36.0,Company Invited,1,9.0,Small Business,1.0,2012-04-16,16,4,2012,CI
200173,1995-01,0,30.0,Company Invited,1,15.0,Small Business,4.0,2012-07-22,22,7,2012,CI
200174,1980-01,0,45.0,Self Enquiry,3,10.0,Salaried,1.0,2014-05-17,17,5,2014,SE
200175,1969-01,0,56.0,Self Enquiry,1,13.0,Salaried,4.0,2015-06-04,4,6,2015,SE
200176,1992-01,0,33.0,Self Enquiry,1,8.0,Salaried,3.0,2012-04-06,6,4,2012,SE
200177,2006-01,1,19.0,Self Enquiry,1,8.0,Salaried,2.0,2015-02-18,18,2,2015,SE
200178,1979-01,0,46.0,Self Enquiry,3,6.0,Small Business,4.0,2012-03-15,15,3,2012,SE
200179,1987-01,0,38.0,Self Enquiry,1,15.0,Salaried,4.0,2015-10-26,26,10,2015,SE
200180,1989-01,0,36.0,Self Enquiry,1,18.0,Small Business,5.0,2010-10-15,15,10,2010,SE
200181,1991-01,0,34.0,Self Enquiry,1,33.0,Small Business,3.0,2010-09-04,4,9,2010,SE
200182,1984-01,1,41.0,Self Enquiry,3,26.0,Small Business,5.0,2011-04-06,6,4,2011,SE
200183,1989-01,0,36.0,Self Enquiry,1,6.0,Small Business,2.0,2015-11-10,10,11,2015,SE
200184,1972-01,0,53.0,Self Enquiry,1,13.0,Small Business,3.0,2015-05-06,6,5,2015,SE
200185,1992-01,0,33.0,Self Enquiry,1,20.0,Small Business,3.0,2015-03-05,5,3,2015,SE
200186,1985-01,0,40.0,Self Enquiry,1,10.0,Small Business,3.0,2010-12-09,9,12,2010,SE
200187,1970-01,0,55.0,Self Enquiry,1,20.0,Small Business,5.0,2013-01-31,31,1,2013,SE
200188,1991-01,0,34.0,Company Invited,1,8.0,Salaried,2.0,2013-04-15,15,4,2013,CI
200189,1974-01,0,51.0,Self Enquiry,1,9.0,Small Business,4.0,2011-12-12,12,12,2011,SE
200190,1973-01,0,52.0,Self Enquiry,1,6.0,Salaried,4.0,2012-01-27,27,1,2012,SE
200191,1998-01,0,27.0,Self Enquiry,1,15.0,Small Business,2.0,2010-08-29,29,8,2010,SE
200192,1990-01,1,35.0,Self Enquiry,1,29.0,Salaried,3.0,2010-09-23,23,9,2010,SE
200193,1982-01,0,43.0,Company Invited,1,13.0,Small Business,3.0,2013-03-02,2,3,2013,CI
200194,1980-01,0,45.0,Company Invited,1,8.0,Small Business,3.0,2015-03-02,2,3,2015,CI
200195,1989-01,0,36.0,Self Enquiry,1,27.0,Salaried,5.0,2014-01-05,5,1,2014,SE
200196,1990-01,0,35.0,Company Invited,1,13.0,Small Business,2.0,2011-09-19,19,9,2011,CI
200197,1983-01,0,42.0,Company Invited,1,27.0,Small Business,2.0,2010-02-08,8,2,2010,CI
200198,1987-01,0,38.0,Self Enquiry,1,8.0,Salaried,3.0,2011-12-21,21,12,2011,SE
200199,1987-01,0,38.0,Self Enquiry,1,35.0,Large Business,3.0,2011-10-22,22,10,2011,SE
200200,1998-01,0,27.0,Company Invited,1,13.0,Large Business,3.0,2015-01-01,1,1,2015,CI
200201,1976-01,0,49.0,Company Invited,1,24.0,Salaried,4.0,2010-03-12,12,3,2010,CI
200202,1989-01,0,36.0,Company Invited,1,16.0,Small Business,2.0,2010-10-04,4,10,2010,CI
200203,1985-01,0,40.0,Self Enquiry,1,25.0,Small Business,3.0,2015-02-17,17,2,2015,SE
200204,1987-01,1,38.0,Self Enquiry,1,35.0,Small Business,4.0,2011-04-13,13,4,2011,SE
200205,1996-01,1,29.0,Self Enquiry,3,33.0,Small Business,3.0,2012-04-10,10,4,2012,SE
200206,2003-01,0,22.0,Self Enquiry,1,11.0,Salaried,2.0,2014-06-09,9,6,2014,SE
200207,1989-01,0,36.0,Company Invited,1,24.0,Small Business,5.0,2011-12-31,31,12,2011,CI
200208,1985-01,0,40.0,Company Invited,1,13.0,Salaried,3.0,2015-06-29,29,6,2015,CI
200209,1979-01,0,46.0,Self Enquiry,1,6.0,Small Business,3.0,2010-10-30,30,10,2010,SE
200210,1993-01,1,32.0,Self Enquiry,3,10.0,Small Business,3.0,2013-01-09,9,1,2013,SE
200211,1995-01,0,30.0,Company Invited,1,6.0,Salaried,3.0,2012-07-07,7,7,2012,CI
200212,1998-01,0,27.0,Company Invited,3,26.0,Salaried,3.0,2015-08-22,22,8,2015,CI
200213,1974-01,0,51.0,Self Enquiry,1,14.0,Salaried,3.0,2014-04-22,22,4,2014,SE
200214,1995-01,1,30.0,Self Enquiry,1,9.0,Large Business,3.0,2013-07-31,31,7,2013,SE
200215,1984-01,0,41.0,Self Enquiry,3,12.0,Salaried,4.0,2012-01-31,31,1,2012,SE
200216,1995-01,1,30.0,Company Invited,3,32.0,Small Business,3.0,2012-12-09,9,12,2012,CI
200217,1996-01,1,29.0,Self Enquiry,1,6.0,Large Business,2.0,2014-12-08,8,12,2014,SE
200218,1980-01,0,45.0,Company Invited,3,12.0,Small Business,2.0,2013-03-20,20,3,2013,CI
200219,1971-01,0,54.0,Self Enquiry,3,9.0,Small Business,3.0,2011-08-21,21,8,2011,SE
200220,1989-01,0,36.0,Self Enquiry,1,11.0,Salaried,5.0,2010-09-06,6,9,2010,SE
200221,1992-01,0,33.0,Self Enquiry,1,10.0,Small Business,2.0,2013-02-20,20,2,2013,SE
200222,1988-01,0,37.0,Company Invited,1,17.0,Salaried,3.0,2010-11-14,14,11,2010,CI
200223,1987-01,0,38.0,Self Enquiry,3,9.0,Salaried,4.0,2015-12-30,30,12,2015,SE
200224,1994-01,0,31.0,Self Enquiry,1,13.0,Small Business,2.0,2014-03-22,22,3,2014,SE
200225,1966-01,0,59.0,Self Enquiry,1,9.0,Salaried,4.0,2014-02-04,4,2,2014,SE
200226,1988-01,0,37.0,Company Invited,3,10.0,Small Business,2.0,2011-06-21,21,6,2011,CI
200227,1996-01,0,29.0,Company Invited,3,6.0,Small Business,2.0,2010-12-07,7,12,2010,CI
200228,1990-01,0,35.0,Company Invited,3,6.0,Small Business,3.0,2012-06-15,15,6,2012,CI
200229,1996-01,1,29.0,Self Enquiry,1,24.0,Small Business,3.0,2011-09-13,13,9,2011,SE
200230,1973-01,0,52.0,Self Enquiry,1,8.0,Salaried,2.0,2015-06-06,6,6,2015,SE
200231,1983-01,0,42.0,Self Enquiry,1,10.0,Large Business,3.0,2014-03-22,22,3,2014,SE
200232,1966-01,0,59.0,Self Enquiry,2,12.0,Small Business,2.0,2011-04-02,2,4,2011,SE
200233,1975-01,0,50.0,Self Enquiry,3,6.0,Small Business,4.0,2011-11-17,17,11,2011,SE
200234,1992-01,1,33.0,Self Enquiry,1,20.0,Small Business,3.0,2010-06-29,29,6,2010,SE
200235,1982-01,0,43.0,Self Enquiry,3,22.0,Small Business,4.0,2014-06-20,20,6,2014,SE
200236,1992-01,1,33.0,Self Enquiry,1,8.0,Salaried,2.0,2014-10-02,2,10,2014,SE
200237,1973-01,0,52.0,Company Invited,3,8.0,Salaried,5.0,2014-09-28,28,9,2014,CI
200238,1989-01,0,36.0,Self Enquiry,3,10.0,Salaried,2.0,2013-09-05,5,9,2013,SE
200239,1989-01,1,36.0,Self Enquiry,1,6.0,Salaried,3.0,2011-01-02,2,1,2011,SE
200240,1986-01,0,39.0,Self Enquiry,1,6.0,Small Business,4.0,2012-12-16,16,12,2012,SE
200241,1993-01,0,32.0,Company Invited,3,13.0,Small Business,5.0,2010-06-14,14,6,2010,CI
200242,1984-01,0,41.0,Self Enquiry,1,25.0,Salaried,2.0,2014-07-13,13,7,2014,SE
200243,1985-01,0,40.0,Self Enquiry,1,30.0,Large Business,4.0,2013-07-04,4,7,2013,SE
200244,1980-01,0,45.0,Self Enquiry,1,6.0,Salaried,5.0,2013-07-29,29,7,2013,SE
200245,1994-01,0,31.0,Company Invited,1,9.0,Small Business,5.0,2011-07-13,13,7,2011,CI
200246,1992-01,0,33.0,Self Enquiry,1,11.0,Salaried,5.0,2015-04-01,1,4,2015,SE
200247,1991-01,0,34.0,Self Enquiry,1,8.0,Salaried,3.0,2012-04-17,17,4,2012,SE
200248,1989-01,0,36.0,Self Enquiry,1,6.0,Small Business,3.0,2013-10-15,15,10,2013,SE
200249,1980-01,0,45.0,Company Invited,1,13.0,Salaried,5.0,2013-10-21,21,10,2013,CI
200250,1988-01,1,37.0,Company Invited,1,16.0,Small Business,5.0,2011-09-17,17,9,2011,CI
200251,1986-01,0,39.0,Company Invited,1,8.0,Large Business,4.0,2013-11-04,4,11,2013,CI
200252,1996-01,0,29.0,Self Enquiry,1,21.0,Salaried,2.0,2014-04-24,24,4,2014,SE
200253,1983-01,0,42.0,Self Enquiry,1,23.0,Salaried,2.0,2011-01-28,28,1,2011,SE
200254,1996-01,0,29.0,Self Enquiry,3,26.0,Small Business,3.0,2011-09-09,9,9,2011,SE
200255,2000-01,0,25.0,Self Enquiry,1,13.0,Salaried,4.0,2013-12-28,28,12,2013,SE
200256,1983-01,0,42.0,Self Enquiry,1,8.0,Small Business,2.0,2010-11-07,7,11,2010,SE
200257,1985-01,0,40.0,Self Enquiry,1,8.0,Small Business,2.0,2012-08-28,28,8,2012,SE
