CustomerID,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,Gender,MaritalStatus(Allias)
200271,3.0,Standard,4.0,Divorced,2.0,1,3,1,Senior Manager,26849.0,Male,MD
200272,3.0,Basic,3.0,Divorced,2.0,0,2,1,Executive,17070.0,Male,MD
200273,3.0,Deluxe,3.0,Divorced,5.0,0,3,0,Manager,21502.0,Male,MD
200274,4.0,Basic,3.0,Single,2.0,0,5,1,Executive,18230.0,Male,MS
200275,3.0,Standard,3.0,Married,3.0,1,3,0,Senior Manager,28603.0,Female,FM
200276,2.0,Standard,4.0,Married,1.0,0,5,1,Senior Manager,26996.0,Female,FM
200277,2.0,Deluxe,5.0,Married,2.0,1,3,0,Manager,20605.0,Female,FM
200278,3.0,Deluxe,4.0,Married,2.0,0,5,0,Manager,21397.0,Female,FM
200279,3.0,King,4.0,Married,4.0,0,5,1,VP,34144.0,Male,MM
200280,3.0,Super Deluxe,3.0,Divorced,4.0,1,5,0,AVP,32584.0,Male,MD
200281,3.0,Deluxe,3.0,Divorced,2.0,0,3,1,Manager,19907.0,Male,MD
200282,3.0,Deluxe,3.0,Single,2.0,0,2,0,Manager,19554.0,Male,MS
200283,3.0,Deluxe,3.0,Divorced,4.0,1,2,1,Manager,20415.0,Male,MD
200284,3.0,Deluxe,5.0,Divorced,2.0,1,3,1,Manager,19741.0,Male,MD
200285,3.0,Basic,3.0,Single,2.0,0,2,1,Executive,17115.0,Female,FS
200286,3.0,Basic,3.0,Married,4.0,1,5,0,Executive,18161.0,Male,MM
200287,3.0,Deluxe,3.0,Married,1.0,0,3,0,Manager,20745.0,Male,MM
200288,3.0,Basic,4.0,Married,3.0,1,2,1,Executive,17373.0,Male,MM
200289,3.0,Basic,3.0,Single,2.0,0,4,0,Executive,18310.0,Female,FS
200290,3.0,King,5.0,Single,1.0,1,3,0,VP,33665.0,Female,FS
200291,3.0,Deluxe,4.0,Single,5.0,0,2,1,Manager,19485.0,Male,MS
200292,3.0,Basic,4.0,Married,2.0,0,3,0,Executive,17789.0,Female,FM
200293,4.0,Deluxe,3.0,Single,2.0,1,2,1,Manager,20828.0,Male,MS
200294,3.0,Basic,3.0,Divorced,2.0,1,2,0,Executive,17326.0,Male,MD
200295,3.0,Super Deluxe,4.0,Divorced,6.0,0,3,1,AVP,28525.0,Female,FD
200296,3.0,Basic,3.0,Single,2.0,0,4,0,Executive,16420.0,Male,MS
200297,3.0,Standard,4.0,Divorced,1.0,0,2,1,Senior Manager,23020.0,Male,MD
200298,2.0,Basic,3.0,Divorced,5.0,0,5,0,Executive,18688.0,Male,MD
200299,5.0,Deluxe,4.0,Married,6.0,0,2,0,Manager,20482.0,Male,MM
200300,3.0,Super Deluxe,4.0,Single,2.0,0,3,1,AVP,31015.0,Male,MS
200301,4.0,Basic,3.0,Single,2.0,0,2,1,Executive,16200.0,Female,FS
200302,2.0,Deluxe,5.0,Single,1.0,0,5,0,Manager,20661.0,Male,MS
200303,2.0,Deluxe,3.0,Divorced,5.0,0,2,1,Manager,21929.0,Male,MD
