CustomerID,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
200039,2,Deluxe,5,Divorced,3,0,3,1,0,Manager,20376
200040,3,Basic,3,Married,2,0,4,0,0,Executive,16951
200041,3,Basic,5,Married,2,0,3,0,1,Executive,17341
200042,5,Basic,3,Single,2,0,2,1,1,Executive,17293
200043,3,Standard,3,Unmarried,2,0,2,1,0,Senior Manager,23726
200044,3,Deluxe,3,Single,2,0,3,1,0,Manager,
200045,3,King,3,Divorced,2,0,4,1,0,VP,34545
200046,3,Deluxe,3,Single,1,0,5,1,1,Manager,19568
200047,3,Basic,4,Divorced,5,0,4,1,1,Executive,18022
200048,3,Deluxe,3,Single,5,1,5,1,1,Manager,20772
200049,2,Basic,3,Divorced,2,0,5,1,1,Executive,17269
200050,4,Standard,3,Single,1,1,5,0,2,Senior Manager,20381
200051,3,Basic,3,Single,2,1,2,1,0,Executive,18441
200052,3,Deluxe,5,Married,6,1,2,0,0,Manager,20454
200053,4,Standard,5,Divorced,3,1,5,1,1,Senior Manager,24884
200054,4,Deluxe,3,Divorced,1,1,2,1,0,Manager,
200055,3,Standard,3,Unmarried,2,1,2,1,0,Senior Manager,28458
200056,3,Standard,5,Divorced,2,0,4,1,0,Senior Manager,24069
200057,3,Basic,5,Divorced,4,1,4,1,0,Executive,
200058,3,Deluxe,3,Married,4,0,3,1,0,Manager,20915
200059,4,Deluxe,3,Married,2,0,5,1,1,Manager,20993
200060,3,Deluxe,3,Divorced,2,1,4,1,0,Manager,21162
200061,3,Deluxe,3,Single,2,0,3,1,0,Manager,17406
200062,4,King,3,Married,6,1,4,1,1,VP,33740
200063,3,Standard,5,Unmarried,1,0,3,1,0,Senior Manager,22637
200064,3,Standard,3,Married,2,0,4,1,1,Senior Manager,25096
200065,3,Super Deluxe,3,Married,3,1,3,0,1,AVP,29756
200066,4,Deluxe,4,Unmarried,2,0,4,1,1,Manager,21499
200067,3,Standard,5,Married,3,0,3,1,1,Senior Manager,24724
200068,3,Basic,5,Divorced,5,0,2,0,1,Executive,17194
200069,4,Basic,3,Divorced,1,1,2,0,1,Executive,18388
200070,4,Deluxe,3,Single,1,0,5,1,1,Manager,20473
200071,3,Basic,4,Divorced,1,0,4,0,0,Executive,17703
200072,3,Basic,4,Single,2,0,3,0,0,Executive,17501
200073,3,Deluxe,4,Divorced,2,0,3,0,0,Manager,21220
200074,2,Deluxe,3,Divorced,4,0,2,0,0,Manager,18038
200075,3,Deluxe,3,Single,2,0,5,0,1,Manager,
200076,4,Deluxe,5,Single,1,0,2,0,1,Manager,
200077,3,Standard,5,Divorced,5,1,3,0,0,Senior Manager,28245
200078,3,Standard,3,Single,5,0,2,0,0,Senior Manager,28664
200079,,Deluxe,4,Married,1,1,5,0,1,Manager,20021
200080,4,Deluxe,3,Divorced,2,1,2,1,1,Manager,20126
200081,4,Basic,3,Single,2,0,4,1,0,Executive,17859
200082,3,Standard,3,Divorced,4,0,2,0,1,Senior Manager,25239
200083,5,Deluxe,3,Married,1,1,2,0,2,Manager,20329
200084,3,Deluxe,4,Divorced,2,0,5,0,0,Manager,
200085,5,Standard,3,Unmarried,5,0,2,0,0,Senior Manager,22260
200086,3,Basic,5,Married,4,0,3,1,1,Executive,17322
200087,3,Basic,3,Divorced,4,0,3,1,0,Executive,17075
200088,4,Deluxe,3,Divorced,2,0,4,1,0,Manager,
200089,4,Standard,3,Unmarried,2,0,5,0,1,Senior Manager,24619
200090,4,Super Deluxe,4,Divorced,2,0,2,1,2,AVP,28503
200091,3,Deluxe,3,Single,1,1,5,1,1,Manager,20441
200092,4,Deluxe,4,Married,2,1,3,1,1,Manager,20209
200093,4,Standard,5,Divorced,3,1,2,1,1,Senior Manager,25673
200094,,Deluxe,3,Single,2,0,5,1,0,Manager,20010
200095,3,Standard,3,Divorced,1,0,4,1,0,Senior Manager,28549
200096,,Deluxe,3,Divorced,1,0,4,1,0,Manager,19999
200097,3,Deluxe,3,Divorced,2,0,2,1,0,Manager,
200098,3,Super Deluxe,3,Single,1,0,3,1,1,AVP,28872
200099,3,Deluxe,4,Divorced,5,0,3,1,0,Manager,17042
200100,3,Basic,5,Married,5,1,2,1,0,Executive,17073
200101,3,Basic,5,Single,2,0,2,0,2,Executive,17956
200102,4,Basic,3,Single,2,1,2,1,1,Executive,17926
200103,3,Deluxe,3,Single,2,0,3,1,0,Manager,19809
200104,4,Deluxe,3,Married,6,0,2,0,1,Manager,20163
200105,4,King,3,Divorced,1,0,2,1,1,VP,33844
200106,3,King,4,Divorced,4,1,2,0,2,VP,33172
200107,4,Deluxe,3,Single,2,1,3,1,0,Manager,20744
200108,4,Basic,3,Divorced,2,0,2,1,2,Executive,17889
200109,3,Basic,3,Single,2,0,2,1,1,Executive,17871
200110,4,Standard,5,Unmarried,4,0,2,1,0,Senior Manager,22484
200111,5,Deluxe,3,Single,2,1,5,1,1,Manager,21074
200112,2,Super Deluxe,3,Single,3,1,3,1,0,AVP,32328
200113,3,Basic,3,Divorced,1,0,4,1,0,Executive,17774
200114,4,Deluxe,4,Married,7,0,3,0,1,Manager,19505
200115,3,Standard,3,Unmarried,3,0,3,0,0,Senior Manager,22428
200116,4,Standard,5,Unmarried,3,0,2,0,0,Senior Manager,26631
200117,3,Standard,3,Divorced,1,0,5,0,0,Senior Manager,24738
200118,3,Basic,3,Married,6,0,2,1,0,Executive,17835
200119,3,Super Deluxe,3,Divorced,2,1,2,0,0,AVP,31959
200120,5,Basic,3,Married,2,0,3,1,2,Executive,17613
200121,3,Deluxe,4,Divorced,1,0,2,0,1,Manager,21146
200122,,Basic,4,Divorced,1,1,5,1,1,Executive,19963
200123,3,King,3,Single,1,0,5,1,0,VP,34537
200124,5,Deluxe,3,Divorced,5,1,3,1,1,Manager,21172
200125,4,Basic,4,Divorced,2,0,3,1,0,Executive,17368
200126,3,Standard,3,Divorced,2,0,3,1,0,Senior Manager,25312
200127,3,Basic,3,Single,2,1,2,0,1,Executive,16675
200128,3,Basic,3,Divorced,1,0,5,1,2,Executive,17523
200129,3,Deluxe,5,Divorced,2,0,2,1,2,Manager,21567
200130,2,Basic,3,Single,5,0,3,0,2,Executive,19739
200131,3,Standard,3,Unmarried,5,0,5,0,0,Senior Manager,24208
200132,5,Deluxe,3,Divorced,4,1,3,1,0,Manager,19559
200133,3,Standard,3,Married,4,1,2,0,1,Senior Manager,23189
200134,3,Basic,3,Divorced,2,0,4,1,0,Executive,17942
200135,,Deluxe,4,Married,7,0,4,1,1,Manager,19941
200136,5,Standard,3,Unmarried,3,0,2,0,1,Senior Manager,25650
200137,4,Deluxe,3,Divorced,5,0,5,1,0,Manager,20902
200138,4,Deluxe,3,Divorced,3,0,4,0,0,Manager,23639
200139,3,Deluxe,3,Divorced,1,1,3,1,1,Manager,21347
200140,3,Basic,5,Single,1,0,4,1,1,Executive,
200141,3,Basic,3,Single,6,0,2,1,0,Executive,18452
200142,3,Deluxe,3,Single,4,1,5,0,0,Manager,1000
200143,3,Basic,3,Single,2,0,2,1,0,Executive,17632
200144,5,Deluxe,3,Married,1,0,2,0,1,Manager,19668
200145,3,Basic,5,Married,6,0,5,1,1,Executive,18204
200146,4,Basic,3,Single,1,0,4,0,0,Executive,17720
200147,4,Super Deluxe,5,Married,5,0,2,1,0,AVP,32181
200148,3,Basic,5,Divorced,3,0,2,0,2,Executive,17238
200149,3,Basic,4,Single,2,0,3,1,2,Executive,16483
200150,3,Deluxe,4,Married,2,0,2,1,0,Manager,20605
200151,3,Standard,4,Divorced,2,0,4,1,2,Senior Manager,22295
200152,3,Deluxe,3,Divorced,3,1,5,0,0,Manager,17306
200153,3,Deluxe,4,Married,1,0,4,1,0,Manager,17348
200154,3,Standard,3,Unmarried,2,0,4,1,1,Senior Manager,23998
200155,3,Deluxe,3,Divorced,2,0,3,0,1,Manager,
200156,4,Deluxe,3,Divorced,3,0,3,1,1,Manager,21132
200157,4,Basic,4,Divorced,5,1,2,1,0,Executive,18346
200158,4,Standard,3,Divorced,1,0,2,1,0,Senior Manager,25855
200159,3,Basic,3,Divorced,7,0,5,1,2,Executive,17231
200160,3,Basic,3,Divorced,2,0,2,0,1,Executive,17323
200161,3,Basic,4,Married,7,0,3,0,0,Executive,17024
200162,3,Basic,3,Divorced,2,0,2,0,0,Executive,17713
200163,2,Standard,3,Married,4,1,4,1,1,Senior Manager,24439
200164,4,Basic,3,Married,2,1,2,0,2,Executive,17566
200165,3,King,4,Single,4,0,5,1,,VP,34926
200166,3,Basic,3,Married,5,0,4,1,1,Executive,17451
200167,3,Standard,3,Divorced,3,0,4,1,1,Senior Manager,24419
200168,4,Deluxe,3,Unmarried,5,0,2,1,1,Manager,23686
200169,3,Basic,3,Single,4,0,2,0,1,Executive,18038
200170,3,Basic,4,Divorced,1,1,4,1,0,Executive,18058
200171,5,Basic,5,Single,1,0,3,1,1,Executive,17325
200172,3,Basic,4,Single,5,0,4,1,0,Executive,17088
200173,3,Deluxe,5,Married,2,0,2,0,1,Manager,18072
200174,,Deluxe,5,Married,5,1,4,0,0,Manager,20006
200175,3,Basic,5,Married,5,1,4,1,1,Executive,
200176,3,Basic,3,Single,1,0,3,0,1,Executive,17500
200177,4,Basic,3,Single,2,0,5,0,0,Executive,16102
200178,3,Standard,5,Married,2,0,2,1,1,Senior Manager,25453
200179,3,Basic,3,Single,2,0,2,1,1,Executive,17288
200180,3,Basic,3,Divorced,1,1,4,1,2,Executive,
200181,3,Basic,4,Single,3,0,3,1,0,Executive,17311
200182,3,Basic,4,Single,2,1,4,0,2,Executive,18140
200183,4,Basic,3,Divorced,3,0,3,0,0,Executive,18690
200184,2,Deluxe,5,Married,2,0,2,1,1,Manager,
200185,3,Basic,4,Divorced,2,0,5,0,0,Executive,17756
200186,3,King,3,Divorced,2,0,5,0,1,VP,34033
200187,2,King,4,Single,1,0,2,0,2,VP,33722
200188,4,Deluxe,3,Divorced,2,0,4,0,0,Manager,24547
200189,3,Super Deluxe,4,Single,4,0,5,0,1,AVP,28734
200190,4,King,3,Divorced,1,0,2,1,,VP,34999
200191,3,Basic,4,Single,2,0,3,1,0,Executive,17279
200192,4,Deluxe,3,Divorced,4,1,4,1,1,Manager,20916
200193,2,Basic,3,Married,5,0,4,0,1,Executive,17089
200194,4,Super Deluxe,3,Divorced,1,0,4,1,0,AVP,31792
200195,2,Basic,5,Divorced,2,1,3,0,2,Executive,18564
200196,3,Deluxe,4,Single,6,0,2,1,0,Manager,
200197,3,Deluxe,3,Married,3,0,2,0,0,Manager,20265
200198,3,Deluxe,3,Divorced,1,0,2,0,1,Manager,21553
200199,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,21261
200200,4,Deluxe,5,Divorced,6,0,3,0,1,Manager,
200201,3,Deluxe,3,Married,2,1,2,0,1,Manager,21804
200202,3,Basic,3,Married,2,1,3,1,0,Executive,
200203,3,Deluxe,3,Divorced,1,1,2,1,1,Manager,17741
200204,3,Deluxe,5,Divorced,1,1,3,0,1,Manager,21673
200205,3,Standard,3,Divorced,2,0,3,1,1,Senior Manager,22639
200206,2,Basic,4,Married,2,1,4,0,0,Executive,17328
200207,3,Basic,3,Single,2,0,3,1,2,Executive,17153
200208,4,Deluxe,3,Divorced,1,0,5,1,0,Manager,19876
200209,3,Standard,5,Married,1,0,2,0,0,Senior Manager,24396
200210,5,Standard,3,Divorced,2,0,2,1,1,Senior Manager,25400
200211,4,Standard,3,Unmarried,2,0,5,1,1,Senior Manager,23474
200212,3,Deluxe,3,Unmarried,2,0,2,1,1,Manager,24981
200213,4,Standard,4,Divorced,6,0,3,1,1,Senior Manager,27490
200214,3,Basic,5,Single,6,1,4,1,1,Executive,17657
200215,3,Standard,3,Single,4,1,2,0,1,Senior Manager,28591
200216,4,Deluxe,5,Unmarried,6,0,2,0,1,Manager,21696
200217,3,Basic,3,Single,1,0,2,0,0,Executive,17058
200218,4,Standard,3,Unmarried,7,0,4,1,0,Senior Manager,23865
200219,3,Deluxe,5,Divorced,3,0,4,1,1,Manager,20940
200220,3,Deluxe,4,Single,1,0,2,0,2,Manager,20914
200221,4,Basic,4,Divorced,7,0,4,0,0,Executive,17622
200222,3,Standard,3,Married,2,1,3,0,1,Senior Manager,27185
200223,3,Standard,3,Married,1,0,2,1,1,Senior Manager,25609
200224,5,Deluxe,3,Divorced,1,0,3,1,0,Manager,
200225,4,Basic,3,Divorced,4,0,3,0,1,Executive,17177
200226,3,Basic,3,Married,5,0,4,1,0,Executive,17177
200227,3,Standard,3,Divorced,2,0,3,1,0,Senior Manager,22918
200228,3,Standard,3,Unmarried,2,0,5,1,0,Senior Manager,23789
200229,4,Basic,3,Single,2,1,3,0,1,Executive,17389
200230,4,Basic,3,Single,1,0,3,0,0,Executive,18212
200231,3,King,3,Divorced,2,0,2,0,1,VP,34232
200232,3,Basic,3,Divorced,1,0,4,1,0,Executive,17267
200233,3,King,3,Married,4,0,2,1,1,VP,34517
200234,3,Basic,3,Divorced,6,1,2,0,1,Executive,17436
200235,3,Super Deluxe,3,Divorced,6,1,3,0,1,AVP,31064
200236,3,Basic,5,Divorced,1,0,3,1,0,Executive,17707
200237,4,King,3,Single,2,1,2,1,2,VP,34068
200238,3,Basic,4,Divorced,3,0,3,1,0,Executive,
200239,4,Basic,3,Single,1,1,5,1,0,Executive,
200240,3,Basic,3,Married,1,0,3,0,1,Executive,17232
200241,3,Deluxe,3,Divorced,1,0,4,1,2,Manager,
200242,3,Deluxe,5,Married,3,0,2,1,0,Manager,18072
200243,3,Deluxe,3,Married,2,0,3,1,1,Manager,18319
200244,2,King,3,Divorced,1,0,4,1,2,VP,34202
200245,3,Standard,3,Married,1,0,4,1,2,Senior Manager,28675
200246,4,Basic,3,Divorced,2,0,2,0,2,Executive,17911
200247,4,Deluxe,5,Divorced,7,0,4,0,1,Manager,20957
200248,4,Basic,5,Divorced,3,0,4,1,1,Executive,
200249,2,Deluxe,3,Divorced,5,0,2,0,2,Manager,21434
200250,3,Standard,3,Married,7,0,3,1,2,Senior Manager,25048
200251,3,Standard,3,Unmarried,1,0,2,1,1,Senior Manager,25938
200252,3,Basic,3,Single,2,0,3,0,0,Executive,17340
200253,2,Deluxe,5,Unmarried,4,1,2,0,0,Manager,21545
200254,3,Deluxe,3,Married,3,0,2,1,1,Manager,21931
200255,3,Deluxe,3,Divorced,1,0,3,1,1,Manager,19898
200256,4,Basic,5,Married,1,1,4,1,0,Executive,17593
200257,3,King,3,Married,1,0,5,0,0,VP,34436
200258,3,Basic,3,Divorced,2,0,4,1,0,Executive,17723
200259,4,Basic,4,Single,1,0,3,1,2,Executive,18479
200260,2,Basic,4,Divorced,2,0,2,0,1,Executive,17794
200261,4,Deluxe,3,Divorced,4,0,5,1,1,Manager,20249
200262,4,Deluxe,5,Single,5,0,4,0,1,Manager,17176
200263,5,Super Deluxe,4,Divorced,4,1,5,1,2,AVP,31872
200264,3,Basic,3,Single,3,0,4,1,1,Executive,18485
200265,4,Deluxe,4,Divorced,3,0,4,0,1,Manager,21644
200266,4,Deluxe,3,Divorced,1,0,3,1,1,Manager,20582
200267,2,Deluxe,5,Married,2,0,5,1,1,Manager,
200268,3,Super Deluxe,3,Divorced,1,1,3,0,0,AVP,28496
200269,3,Basic,3,Divorced,1,0,5,1,1,Executive,18210
200270,3,King,5,Single,1,1,2,1,0,VP,34045
200271,3,Standard,4,Divorced,2,1,3,1,0,Senior Manager,26849
200272,3,Basic,3,Divorced,2,0,2,1,1,Executive,17070
200273,3,Deluxe,3,Divorced,5,0,3,0,0,Manager,21502
200274,4,Basic,3,Single,2,0,5,1,1,Executive,18230
200275,3,Standard,3,Married,3,1,3,0,0,Senior Manager,28603
200276,2,Standard,4,Married,1,0,5,1,1,Senior Manager,26996
200277,2,Deluxe,5,Married,2,1,3,0,0,Manager,20605
200278,3,Deluxe,4,Married,2,0,5,0,1,Manager,21397
200279,3,King,4,Married,4,0,5,1,0,VP,34144
200280,3,Super Deluxe,3,Divorced,4,1,5,0,0,AVP,32584
200281,3,Deluxe,3,Divorced,2,0,3,1,0,Manager,19907
200282,3,Deluxe,3,Single,2,0,2,0,0,Manager,19554
200283,3,Deluxe,3,Divorced,4,1,2,1,1,Manager,20415
200284,3,Deluxe,5,Divorced,2,1,3,1,1,Manager,19741
200285,3,Basic,3,Single,2,0,2,1,1,Executive,17115
200286,3,Basic,3,Married,4,1,5,0,1,Executive,18161
200287,3,Deluxe,3,Married,1,0,3,0,0,Manager,20745
200288,3,Basic,4,Married,3,1,2,1,1,Executive,17373
200289,3,Basic,3,Single,2,0,4,0,1,Executive,18310
200290,3,King,5,Single,1,1,3,0,0,VP,33665
200291,3,Deluxe,4,Single,5,0,2,1,0,Manager,19485
200292,3,Basic,4,Married,2,0,3,0,1,Executive,17789
200293,4,Deluxe,3,Single,2,1,2,1,1,Manager,20828
200294,3,Basic,3,Divorced,2,1,2,0,0,Executive,17326
200295,3,Super Deluxe,4,Divorced,6,0,3,1,2,AVP,28525
200296,3,Basic,3,Single,2,0,4,0,0,Executive,16420
200297,3,Standard,4,Divorced,1,0,2,1,2,Senior Manager,23020
200298,2,Basic,3,Divorced,5,0,5,0,0,Executive,18688
200299,5,Deluxe,4,Married,6,0,2,0,0,Manager,20482
200300,3,Super Deluxe,4,Single,2,0,3,1,0,AVP,31015
200301,4,Basic,3,Single,2,0,2,1,2,Executive,16200
200302,2,Deluxe,5,Single,1,0,5,0,2,Manager,20661
200303,2,Deluxe,3,Divorced,5,0,2,1,0,Manager,21929
200304,2,Standard,3,Married,1,0,3,1,0,Senior Manager,24613
200305,3,Deluxe,4,Divorced,1,0,3,0,0,Manager,20674
200306,4,Deluxe,3,Divorced,2,0,3,1,2,Manager,20484
200307,4,Standard,4,Divorced,4,0,3,1,0,Senior Manager,27061
200308,5,Deluxe,3,Married,3,1,2,1,1,Manager,20660
200309,3,Basic,3,Divorced,1,1,4,0,1,Executive,19821
200310,4,Deluxe,5,Divorced,4,0,3,0,1,Manager,21410
200311,3,Standard,5,Married,2,0,2,1,2,Senior Manager,20210
200312,3,Basic,3,Married,1,1,4,1,1,Executive,17695
200313,3,Standard,4,Divorced,7,0,3,1,2,Senior Manager,26878
200314,3,Super Deluxe,5,Divorced,2,1,3,1,1,AVP,32068
200315,3,Basic,3,Single,1,0,5,0,1,Executive,17455
200316,4,Super Deluxe,3,Single,1,1,3,1,0,AVP,28964
200317,,Deluxe,4,Divorced,3,0,2,1,1,Manager,19941
200318,3,Basic,4,Single,2,1,3,0,1,Executive,17478
200319,4,Deluxe,4,Divorced,2,1,2,1,0,Manager,20228
200320,3,Deluxe,3,Single,2,1,4,1,2,Manager,
200321,3,Deluxe,3,Married,5,0,2,0,0,Manager,22547
200322,,Deluxe,3,Single,1,0,3,1,2,Manager,20055
200323,5,Basic,3,Divorced,6,1,3,1,0,Executive,18464
200324,3,Deluxe,3,Divorced,2,0,3,0,2,Manager,20775
200325,4,Standard,3,Divorced,2,0,2,1,1,Senior Manager,23943
200326,4,King,3,Divorced,2,0,5,1,1,VP,34272
200327,3,Deluxe,3,Divorced,5,1,4,1,1,Manager,20238
200328,4,Deluxe,3,Single,4,0,3,1,1,Manager,19682
200329,3,King,3,Divorced,5,0,2,0,1,VP,33300
200330,4,Deluxe,3,Married,2,0,3,0,0,Manager,20257
200331,3,Deluxe,4,Divorced,1,1,2,0,2,Manager,21349
200332,3,Deluxe,3,Single,4,0,4,1,0,Manager,19869
200333,3,Standard,5,Divorced,1,0,5,1,0,Senior Manager,24985
200334,3,Deluxe,3,Divorced,1,0,3,1,0,Manager,18697
200335,5,Deluxe,3,Divorced,3,1,3,1,0,Manager,22457
200336,5,Basic,5,Divorced,2,1,3,1,1,Executive,17119
200337,4,Basic,3,Single,1,0,2,1,0,Executive,
200338,4,Deluxe,3,Married,2,0,2,0,0,Manager,21118
200339,3,Deluxe,4,Divorced,2,0,2,0,0,Manager,21214
200340,3,Deluxe,3,Married,1,0,3,0,0,Manager,21347
200341,4,Standard,3,Married,1,1,5,1,1,Senior Manager,26510
200342,3,Standard,3,Unmarried,2,1,4,1,1,Senior Manager,22143
200343,4,Deluxe,4,Married,2,1,5,0,1,Manager,23268
200344,3,Standard,4,Unmarried,1,0,3,0,0,Senior Manager,23095
200345,3,Basic,3,Married,2,0,2,1,1,Executive,17904
200346,4,Deluxe,4,Single,7,1,3,1,0,Manager,21032
200347,3,Deluxe,3,Single,4,0,4,0,1,Manager,17976
200348,3,Super Deluxe,3,Single,3,0,3,0,0,AVP,30992
200349,3,Deluxe,3,Divorced,2,0,2,1,1,Manager,19649
200350,3,Basic,3,Married,1,1,4,1,0,Executive,17696
200351,3,Basic,4,Divorced,2,0,4,0,0,Executive,17370
200352,3,Standard,3,Divorced,4,0,4,0,0,Senior Manager,27504
200353,2,Deluxe,5,Married,5,1,3,1,1,Manager,20974
200354,3,Deluxe,3,Divorced,1,1,3,1,0,Manager,19736
200355,3,Deluxe,3,Divorced,2,0,5,1,0,Manager,20296
200356,4,Deluxe,3,Unmarried,4,0,2,0,1,Manager,21781
200357,4,Basic,4,Single,2,1,5,1,1,Executive,17174
200358,3,Deluxe,3,Unmarried,5,0,2,1,1,Manager,21653
200359,4,Standard,3,Divorced,5,0,2,0,1,Senior Manager,24699
200360,3,Deluxe,3,Divorced,3,0,3,1,1,Manager,21755
200361,2,Basic,3,Divorced,4,1,3,0,1,Executive,17213
200362,3,Basic,3,Single,2,0,4,0,0,Executive,17610
200363,3,Basic,3,Single,2,1,2,1,0,Executive,17851
200364,3,Basic,5,Divorced,7,0,2,1,1,Executive,18452
200365,3,Deluxe,3,Divorced,3,0,5,0,0,Manager,20258
200366,3,Deluxe,4,Unmarried,2,0,3,1,0,Manager,24355
200367,4,Standard,3,Unmarried,7,0,5,0,2,Senior Manager,25496
200368,4,Deluxe,3,Divorced,3,1,3,1,1,Manager,21380
200369,4,Basic,4,Single,1,1,3,1,0,Executive,17657
200370,2,Basic,4,Single,2,0,5,0,1,Executive,17716
200371,3,Basic,3,Single,1,0,3,1,0,Executive,17201
200372,4,Deluxe,4,Unmarried,1,0,2,1,2,Manager,21540
200373,3,Basic,4,Married,2,0,3,0,0,Executive,
200374,3,Deluxe,3,Single,2,0,3,1,0,Manager,20253
200375,4,Standard,3,Unmarried,1,0,2,1,1,Senior Manager,25965
200376,,Deluxe,3,Divorced,5,0,3,0,1,Manager,19936
200377,3,Basic,3,Divorced,5,0,5,1,0,Executive,17543
200378,2,Deluxe,3,Single,1,1,2,1,2,Manager,20304
200379,3,Super Deluxe,3,Single,3,1,5,0,1,AVP,31659
200380,3,Deluxe,3,Married,2,1,2,0,2,Manager,
200381,3,Basic,4,Divorced,2,0,3,1,2,Executive,17476
200382,3,Basic,5,Single,1,0,3,0,2,Executive,18102
200383,3,Basic,4,Divorced,2,0,2,1,0,Executive,17244
200384,4,Standard,3,Divorced,2,0,2,1,0,Senior Manager,22596
200385,3,Basic,3,Single,19,1,4,1,1,Executive,17285
200386,3,Basic,5,Married,2,0,4,1,0,Executive,18034
200387,3,Deluxe,4,Married,1,0,2,0,1,Manager,20715
200388,3,Basic,5,Married,4,0,3,1,1,Executive,17576
200389,3,Deluxe,4,Single,3,1,5,0,1,Manager,
200390,4,Super Deluxe,4,Married,2,0,3,0,1,AVP,29336
200391,4,Deluxe,3,Divorced,7,0,5,1,0,Manager,18448
200392,3,King,5,Divorced,5,0,4,1,0,VP,34406
200393,3,Deluxe,3,Divorced,1,0,2,1,0,Manager,21538
200394,3,Deluxe,5,Divorced,2,0,2,1,0,Manager,
200395,3,Basic,3,Divorced,1,0,4,0,2,Executive,17258
200396,3,Deluxe,3,Married,5,1,2,0,0,Manager,19522
200397,4,Deluxe,3,Single,2,1,2,0,1,Manager,19487
200398,3,Deluxe,3,Divorced,4,1,3,1,1,Manager,
200399,4,Basic,5,Divorced,2,0,4,0,0,Executive,17218
200400,3,King,3,Married,2,1,3,0,1,VP,34197
200401,2,Super Deluxe,5,Divorced,1,0,3,1,0,AVP,28212
200402,3,Deluxe,3,Unmarried,1,0,2,1,0,Manager,21577
200403,2,Standard,5,Divorced,2,0,3,1,1,Senior Manager,23392
200404,3,Deluxe,5,Married,2,0,2,0,0,Manager,19558
200405,3,Basic,5,Divorced,6,0,5,1,1,Executive,
200406,4,Standard,3,Divorced,3,1,2,0,0,Senior Manager,22969
200407,3,Basic,3,Divorced,4,0,5,1,0,Executive,17654
200408,3,Super Deluxe,3,Divorced,3,0,5,1,0,AVP,31555
200409,3,Deluxe,3,Married,3,0,3,1,2,Manager,19556
200410,5,Deluxe,3,Single,3,0,2,0,1,Manager,21091
200411,3,King,5,Divorced,6,0,5,0,0,VP,34566
200412,3,Deluxe,3,Married,3,0,5,0,0,Manager,19810
200413,4,Deluxe,3,Divorced,1,0,3,0,0,Manager,19523
200414,3,Basic,4,Single,2,1,4,1,2,Executive,18202
200415,5,Basic,3,Married,1,0,4,1,1,Executive,17351
